"sim_number","migration_rates","area","K_num","island_species"
"1","0.043","20","2","5"
"1","0.043","30","3","7"
"1","0.043","40","4","8"
"1","0.043","50","5","7"
"1","0.043","60","6","11"
"1","0.043","70","7","9"
"1","0.043","80","8","15"
"1","0.043","90","9","14"
"1","0.043","100","10","15"
"1","0.043","110","11","14"
"1","0.043","120","12","17"
"1","0.043","130","13","16"
"1","0.043","140","14","19"
"1","0.043","150","15","14"
"1","0.043","160","16","15"
"1","0.043","170","17","18"
"1","0.043","180","18","14"
"1","0.043","190","19","20"
"1","0.043","200","20","21"
"1","0.044","10","1","2"
"1","0.044","20","2","2"
"1","0.044","30","3","6"
"1","0.044","40","4","8"
"1","0.044","50","5","7"
"1","0.044","60","6","9"
"1","0.044","70","7","11"
"1","0.044","80","8","13"
"1","0.044","90","9","11"
"1","0.044","100","10","11"
"1","0.044","110","11","13"
"1","0.044","120","12","17"
"1","0.044","130","13","21"
"1","0.044","140","14","15"
"1","0.044","150","15","14"
"1","0.044","160","16","14"
"1","0.044","170","17","21"
"1","0.044","180","18","17"
"1","0.044","190","19","19"
"1","0.044","200","20","19"
"1","0.045","10","1","1"
"1","0.045","20","2","2"
"1","0.045","30","3","7"
"1","0.045","40","4","8"
"1","0.045","50","5","7"
"1","0.045","60","6","6"
"1","0.045","70","7","12"
"1","0.045","80","8","11"
"1","0.045","90","9","12"
"1","0.045","100","10","13"
"1","0.045","110","11","17"
"1","0.045","120","12","14"
"1","0.045","130","13","18"
"1","0.045","140","14","18"
"1","0.045","150","15","16"
"1","0.045","160","16","16"
"1","0.045","170","17","14"
"1","0.045","180","18","19"
"1","0.045","190","19","20"
"1","0.045","200","20","19"
"1","0.046","10","1","1"
"1","0.046","20","2","3"
"1","0.046","30","3","6"
"1","0.046","40","4","7"
"1","0.046","50","5","10"
"1","0.046","60","6","12"
"1","0.046","70","7","9"
"1","0.046","80","8","16"
"1","0.046","90","9","14"
"1","0.046","100","10","9"
"1","0.046","110","11","15"
"1","0.046","120","12","18"
"1","0.046","130","13","12"
"1","0.046","140","14","15"
"1","0.046","150","15","17"
"1","0.046","160","16","14"
"1","0.046","170","17","16"
"1","0.046","180","18","19"
"1","0.046","190","19","18"
"1","0.046","200","20","18"
"1","0.047","10","1","2"
"1","0.047","20","2","2"
"1","0.047","30","3","6"
"1","0.047","40","4","6"
"1","0.047","50","5","9"
"1","0.047","60","6","10"
"1","0.047","70","7","9"
"1","0.047","80","8","8"
"1","0.047","90","9","12"
"1","0.047","100","10","11"
"1","0.047","110","11","17"
"1","0.047","120","12","16"
"1","0.047","130","13","17"
"1","0.047","140","14","18"
"1","0.047","150","15","20"
"1","0.047","160","16","17"
"1","0.047","170","17","20"
"1","0.047","180","18","21"
"1","0.047","190","19","19"
"1","0.047","200","20","22"
"1","0.048","10","1","1"
"1","0.048","20","2","3"
"1","0.048","30","3","7"
"1","0.048","40","4","8"
"1","0.048","50","5","8"
"1","0.048","60","6","7"
"1","0.048","70","7","9"
"1","0.048","80","8","10"
"1","0.048","90","9","14"
"1","0.048","100","10","16"
"1","0.048","110","11","15"
"1","0.048","120","12","12"
"1","0.048","130","13","19"
"1","0.048","140","14","18"
"1","0.048","150","15","16"
"1","0.048","160","16","19"
"1","0.048","170","17","17"
"1","0.048","180","18","18"
"1","0.048","190","19","18"
"1","0.048","200","20","22"
"1","0.049","10","1","2"
"1","0.049","20","2","1"
"1","0.049","30","3","7"
"1","0.049","40","4","8"
"1","0.049","50","5","9"
"1","0.049","60","6","8"
"1","0.049","70","7","11"
"1","0.049","80","8","10"
"1","0.049","90","9","11"
"1","0.049","100","10","14"
"1","0.049","110","11","12"
"1","0.049","120","12","11"
"1","0.049","130","13","13"
"1","0.049","140","14","18"
"1","0.049","150","15","14"
"1","0.049","160","16","15"
"1","0.049","170","17","17"
"1","0.049","180","18","20"
"1","0.049","190","19","19"
"1","0.049","200","20","20"
"1","0.05","10","1","4"
"1","0.05","20","2","3"
"1","0.05","30","3","4"
