"migration_rate","area","niches","mean_sp"
0.051,20,4,5.16
0.051,20,2,3.67
0.051,20,1,2.45
0.054,1,1,1
0.054,2,2,2
0.054,2,1,1.11
0.054,3,3,3
0.054,3,1,1.17
0.054,4,4,4
0.054,4,2,2.11
0.054,4,1,1.21
0.054,5,5,5
0.054,5,1,1.41
0.054,6,6,6
0.054,6,3,3.15
0.054,6,2,2.29
0.054,6,1,1.49
0.054,7,7,7
0.054,7,1,1.59
0.054,8,8,8
0.054,8,4,4.28
0.054,8,2,2.49
0.054,8,1,1.56
0.054,9,9,9
0.054,9,3,3.49
0.054,9,1,1.79
0.054,10,10,10
0.054,10,5,5.35
0.054,10,2,2.67
0.054,10,1,1.81
0.054,11,11,11
0.054,11,1,2
0.054,12,12,12
0.054,12,6,6.46
0.054,12,4,4.66
0.054,12,3,3.82
0.054,12,2,2.79
0.054,12,1,2.04
0.054,13,13,13
0.054,13,1,1.98
0.054,14,14,14
0.054,14,7,7.46
0.054,14,2,2.99
0.054,14,1,2.22
0.054,15,15,15
0.054,15,5,5.98
0.054,15,3,4.06
0.054,15,1,2.36
0.054,16,16,16
0.054,16,8,8.55
0.054,16,4,5.11
0.054,16,2,3.12
0.054,16,1,2.17
0.054,17,17,17
0.054,17,1,2.39
0.054,18,18,18
0.054,18,9,9.66
0.054,18,6,6.9
0.054,18,3,4.31
0.054,18,2,3.3
0.054,18,1,2.4
0.054,19,19,19
0.054,19,1,2.54
0.054,20,20,20
0.054,20,10,10.71
0.054,20,5,6.28
0.054,20,4,5.25
0.054,20,2,3.74
0.054,20,1,2.51
0.057,1,1,1
0.057,2,2,2
0.057,2,1,1.09
0.057,3,3,3
0.057,3,1,1.18
0.057,4,4,4
0.057,4,2,2.18
0.057,4,1,1.38
0.057,5,5,5
0.057,5,1,1.43
0.057,6,6,6
0.057,6,3,3.25
0.057,6,2,2.43
0.057,6,1,1.41
0.057,7,7,7
0.057,7,1,1.5
0.057,8,8,8
0.057,8,4,4.3
0.057,8,2,2.55
0.057,8,1,1.57
0.057,9,9,9
0.057,9,3,3.41
0.057,9,1,1.81
0.057,10,10,10
0.057,10,5,5.34
0.057,10,2,2.71
0.057,10,1,1.81
0.057,11,11,11
0.057,11,1,1.91
0.057,12,12,12
0.057,12,6,6.45
0.057,12,4,4.59
0.057,12,3,3.64
